"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"dif-conditional-bootstrap-extended","PCM balanced null 0","current uniform item-wise Type I",100,100,0,0,0,NA,NA,NA,NA,NA,NA,0.0583333333333333,0.00987435090707936,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-extended.R","813c7f6af9cbb06cac9a2b8c24ab07e5","bd518e8+dirty","735ec7272129","2026-08-22","PCM; balanced; 99 conditional refits; hybrid reference"
"dif-conditional-bootstrap-extended","PCM balanced null 0","bootstrap uniform item-wise Type I",100,100,0,0,0,NA,NA,NA,NA,NA,NA,0.05,0.00902049045428875,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-extended.R","813c7f6af9cbb06cac9a2b8c24ab07e5","bd518e8+dirty","735ec7272129","2026-08-22","PCM; balanced; 99 conditional refits; term-specific empirical tail"
"dif-conditional-bootstrap-extended","PCM balanced null 0","current non-uniform item-wise Type I",100,100,0,0,0,NA,NA,NA,NA,NA,NA,0.0383333333333333,0.00815637020124198,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-extended.R","813c7f6af9cbb06cac9a2b8c24ab07e5","bd518e8+dirty","735ec7272129","2026-08-22","PCM; balanced; 99 conditional refits; residual-ANOVA reference"
"dif-conditional-bootstrap-extended","PCM balanced null 0","bootstrap non-uniform item-wise Type I",100,100,0,0,0,NA,NA,NA,NA,NA,NA,0.0283333333333333,0.00672324476737388,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-extended.R","813c7f6af9cbb06cac9a2b8c24ab07e5","bd518e8+dirty","735ec7272129","2026-08-22","PCM; balanced; 99 conditional refits; term-specific empirical tail"
"dif-conditional-bootstrap-extended","PCM balanced null 0","current Holm FWER",100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.0237486841740758,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-extended.R","813c7f6af9cbb06cac9a2b8c24ab07e5","bd518e8+dirty","735ec7272129","2026-08-22","PCM; balanced; 99 conditional refits; complete item-by-term family"
"dif-conditional-bootstrap-extended","PCM balanced null 0","bootstrap minimum-p FWER",100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.0217944947177034,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-extended.R","813c7f6af9cbb06cac9a2b8c24ab07e5","bd518e8+dirty","735ec7272129","2026-08-22","PCM; balanced; 99 conditional refits; complete item-by-term family"
"dif-conditional-bootstrap-extended","PCM imbalanced null 0","current uniform item-wise Type I",100,100,0,0,0,NA,NA,NA,NA,NA,NA,0.06,0.0104661283612029,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-extended.R","813c7f6af9cbb06cac9a2b8c24ab07e5","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; 99 conditional refits; hybrid reference"
"dif-conditional-bootstrap-extended","PCM imbalanced null 0","bootstrap uniform item-wise Type I",100,100,0,0,0,NA,NA,NA,NA,NA,NA,0.0416666666666667,0.00763027521703946,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-extended.R","813c7f6af9cbb06cac9a2b8c24ab07e5","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; 99 conditional refits; term-specific empirical tail"
"dif-conditional-bootstrap-extended","PCM imbalanced null 0","current non-uniform item-wise Type I",100,100,0,0,0,NA,NA,NA,NA,NA,NA,0.06,0.0104661283612029,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-extended.R","813c7f6af9cbb06cac9a2b8c24ab07e5","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; 99 conditional refits; residual-ANOVA reference"
"dif-conditional-bootstrap-extended","PCM imbalanced null 0","bootstrap non-uniform item-wise Type I",100,100,0,0,0,NA,NA,NA,NA,NA,NA,0.05,0.00962250448649376,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-extended.R","813c7f6af9cbb06cac9a2b8c24ab07e5","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; 99 conditional refits; term-specific empirical tail"
"dif-conditional-bootstrap-extended","PCM imbalanced null 0","current Holm FWER",100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.0255147016443461,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-extended.R","813c7f6af9cbb06cac9a2b8c24ab07e5","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; 99 conditional refits; complete item-by-term family"
"dif-conditional-bootstrap-extended","PCM imbalanced null 0","bootstrap minimum-p FWER",100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.0217944947177034,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-extended.R","813c7f6af9cbb06cac9a2b8c24ab07e5","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; 99 conditional refits; complete item-by-term family"
"dif-conditional-bootstrap-extended","PCM imbalanced uniform 0.6","current target power",100,100,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.04,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-extended.R","813c7f6af9cbb06cac9a2b8c24ab07e5","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; 99 conditional refits; I3 uniform group term"
"dif-conditional-bootstrap-extended","PCM imbalanced uniform 0.6","bootstrap target power",100,100,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,0.0427083130081252,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-extended.R","813c7f6af9cbb06cac9a2b8c24ab07e5","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; 99 conditional refits; I3 uniform group term"
"dif-conditional-bootstrap-extended","PCM imbalanced uniform 0.6","current unaffected-item FWER",100,100,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.031288975694324,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-extended.R","813c7f6af9cbb06cac9a2b8c24ab07e5","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; 99 conditional refits; all terms on I1-I2 and I4-I6"
"dif-conditional-bootstrap-extended","PCM imbalanced uniform 0.6","bootstrap unaffected-item FWER",100,100,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.03,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-extended.R","813c7f6af9cbb06cac9a2b8c24ab07e5","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; 99 conditional refits; all terms on I1-I2 and I4-I6"
"dif-conditional-bootstrap-extended","PCM imbalanced nonuniform 0.7","current target power",100,100,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.0458257569495584,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-extended.R","813c7f6af9cbb06cac9a2b8c24ab07e5","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; 99 conditional refits; I3 nonuniform group term"
"dif-conditional-bootstrap-extended","PCM imbalanced nonuniform 0.7","bootstrap target power",100,100,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.0433012701892219,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-extended.R","813c7f6af9cbb06cac9a2b8c24ab07e5","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; 99 conditional refits; I3 nonuniform group term"
"dif-conditional-bootstrap-extended","PCM imbalanced nonuniform 0.7","current unaffected-item FWER",100,100,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.0271293199325011,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-extended.R","813c7f6af9cbb06cac9a2b8c24ab07e5","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; 99 conditional refits; all terms on I1-I2 and I4-I6"
"dif-conditional-bootstrap-extended","PCM imbalanced nonuniform 0.7","bootstrap unaffected-item FWER",100,100,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.0217944947177034,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-extended.R","813c7f6af9cbb06cac9a2b8c24ab07e5","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; 99 conditional refits; all terms on I1-I2 and I4-I6"
"dif-conditional-bootstrap-extended","PCM imbalanced nonuniform 1.4","current target power",100,100,0,0,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92,0.0271293199325011,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-extended.R","813c7f6af9cbb06cac9a2b8c24ab07e5","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; 99 conditional refits; I3 nonuniform group term"
"dif-conditional-bootstrap-extended","PCM imbalanced nonuniform 1.4","bootstrap target power",100,100,0,0,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,0.0324961536185438,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-extended.R","813c7f6af9cbb06cac9a2b8c24ab07e5","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; 99 conditional refits; I3 nonuniform group term"
"dif-conditional-bootstrap-extended","PCM imbalanced nonuniform 1.4","current unaffected-item FWER",100,100,0,0,1.4,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.0346987031457949,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-extended.R","813c7f6af9cbb06cac9a2b8c24ab07e5","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; 99 conditional refits; all terms on I1-I2 and I4-I6"
"dif-conditional-bootstrap-extended","PCM imbalanced nonuniform 1.4","bootstrap unaffected-item FWER",100,100,0,0,1.4,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0.0286181760425084,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-extended.R","813c7f6af9cbb06cac9a2b8c24ab07e5","bd518e8+dirty","735ec7272129","2026-08-22","PCM; imbalanced; 99 conditional refits; all terms on I1-I2 and I4-I6"
"dif-conditional-bootstrap-extended","RSM balanced null 0","current uniform item-wise Type I",100,100,0,0,0,NA,NA,NA,NA,NA,NA,0.025,0.00643320161760454,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/dif-conditional-bootstrap-extended.R","813c7f6af9cbb06cac9a2b8c24ab07e5","bd518e8+dirty","735ec7272129","2026-08-22","RSM; balanced; 99 conditional refits; hybrid reference"
