"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"item-fit-interval-count","8 items; discrimination 1.5 on I3","item-wise rejection",100,100,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,0.0438634243989226,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 5 intervals; ties may reduce the realised count"
"item-fit-interval-count","8 items; discrimination 1.5 on I3","Holm familywise rejection",100,100,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,0.0427083130081252,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 5 intervals; ties may reduce the realised count"
"item-fit-interval-count","8 items; discrimination 1.5 on I3","item-wise rejection",100,100,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,0.047021271782035,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 6 intervals; ties may reduce the realised count"
"item-fit-interval-count","8 items; discrimination 1.5 on I3","Holm familywise rejection",100,100,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.0458257569495584,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 6 intervals; ties may reduce the realised count"
"item-fit-interval-count","8 items; discrimination 1.5 on I3","item-wise rejection",100,100,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,0.0482804308182932,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 7 intervals; ties may reduce the realised count"
"item-fit-interval-count","8 items; discrimination 1.5 on I3","Holm familywise rejection",100,100,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0.0462493243193887,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 7 intervals; ties may reduce the realised count"
"item-fit-interval-count","8 items; discrimination 1.5 on I3","item-wise rejection",100,100,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,0.0482804308182932,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 8 intervals; ties may reduce the realised count"
"item-fit-interval-count","8 items; discrimination 1.5 on I3","Holm familywise rejection",100,100,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0.0462493243193887,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 8 intervals; ties may reduce the realised count"
"item-fit-interval-count","8 items; discrimination 1.5 on I3","item-wise rejection",100,100,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,0.0482804308182932,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 9 intervals; ties may reduce the realised count"
"item-fit-interval-count","8 items; discrimination 1.5 on I3","Holm familywise rejection",100,100,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0.0462493243193887,0,0,0,0,"tools/simval/studies/item-fit-interval-count.R","3939610a09e1392a51c5d0406d4c2a74","bd518e8+dirty","735ec7272129","2026-08-22","requested 9 intervals; ties may reduce the realised count"
